producto;tramo_negocio;periodo;DTR;cliente;target;tipo
Producto A;Tramo 1;202201;Grupo 1;387;0.033591731;Actual
Producto A;Tramo 1;202201;Grupo 2;912;0.057017544;Actual
Producto A;Tramo 1;202201;Grupo 3;1061;0.110273327;Actual
Producto A;Tramo 1;202201;Grupo 4;195;0.271794872;Actual
Producto A;Tramo 1;202201;Grupo 5;22;0.545454545;Actual
Producto A;Tramo 1;202202;Grupo 1;1542;0.00843061;Actual
Producto A;Tramo 1;202202;Grupo 2;2536;0.021293375;Actual
Producto A;Tramo 1;202202;Grupo 3;2580;0.082945736;Actual
Producto A;Tramo 1;202202;Grupo 4;434;0.223502304;Actual
Producto A;Tramo 1;202202;Grupo 5;43;0.348837209;Actual
Producto A;Tramo 1;202203;Grupo 1;363;0.035812672;Actual
Producto A;Tramo 1;202203;Grupo 2;608;0.049342105;Actual
Producto A;Tramo 1;202203;Grupo 3;856;0.117990654;Actual
Producto A;Tramo 1;202203;Grupo 4;200;0.225;Actual
Producto A;Tramo 1;202203;Grupo 5;32;0.53125;Actual
Producto A;Tramo 1;202204;Grupo 1;556;0.019784173;Actual
Producto A;Tramo 1;202204;Grupo 2;874;0.040045767;Actual
Producto A;Tramo 1;202204;Grupo 3;1194;0.097152429;Actual
Producto A;Tramo 1;202204;Grupo 4;182;0.236263736;Actual
Producto A;Tramo 1;202204;Grupo 5;22;0.545454545;Actual
Producto A;Tramo 1;202205;Grupo 1;407;0.029484029;Actual
Producto A;Tramo 1;202205;Grupo 2;887;0.042841037;Actual
Producto A;Tramo 1;202205;Grupo 3;1149;0.093994778;Actual
Producto A;Tramo 1;202205;Grupo 4;201;0.273631841;Actual
Producto A;Tramo 1;202205;Grupo 5;15;0.266666667;Actual
Producto A;Tramo 1;202206;Grupo 1;609;0.019704433;Actual
Producto A;Tramo 1;202206;Grupo 2;1281;0.027322404;Actual
Producto A;Tramo 1;202206;Grupo 3;1625;0.084307692;Actual
Producto A;Tramo 1;202206;Grupo 4;237;0.219409283;Actual
Producto A;Tramo 1;202206;Grupo 5;16;0.25;Actual
Producto A;Tramo 1;202207;Grupo 1;886;0.014672686;Actual
Producto A;Tramo 1;202207;Grupo 2;1412;0.032577904;Actual
Producto A;Tramo 1;202207;Grupo 3;1534;0.089308996;Actual
Producto A;Tramo 1;202207;Grupo 4;240;0.258333333;Actual
Producto A;Tramo 1;202207;Grupo 5;17;0.529411765;Actual
Producto A;Tramo 1;202201;Grupo 1;447;0.031319911;Nuevo
Producto A;Tramo 1;202201;Grupo 2;1003;0.058823529;Nuevo
Producto A;Tramo 1;202201;Grupo 3;585;0.107692308;Nuevo
Producto A;Tramo 1;202201;Grupo 4;407;0.181818182;Nuevo
Producto A;Tramo 1;202201;Grupo 5;136;0.272058824;Nuevo
Producto A;Tramo 1;202202;Grupo 1;1330;0.006766917;Nuevo
Producto A;Tramo 1;202202;Grupo 2;2949;0.02712784;Nuevo
Producto A;Tramo 1;202202;Grupo 3;1513;0.065432915;Nuevo
Producto A;Tramo 1;202202;Grupo 4;1043;0.127516779;Nuevo
Producto A;Tramo 1;202202;Grupo 5;303;0.237623762;Nuevo
Producto A;Tramo 1;202203;Grupo 1;279;0.014336918;Nuevo
Producto A;Tramo 1;202203;Grupo 2;740;0.051351351;Nuevo
Producto A;Tramo 1;202203;Grupo 3;516;0.106589147;Nuevo
Producto A;Tramo 1;202203;Grupo 4;379;0.168865435;Nuevo
Producto A;Tramo 1;202203;Grupo 5;147;0.306122449;Nuevo
Producto A;Tramo 1;202204;Grupo 1;362;0.013812155;Nuevo
Producto A;Tramo 1;202204;Grupo 2;1035;0.022222222;Nuevo
Producto A;Tramo 1;202204;Grupo 3;732;0.076502732;Nuevo
Producto A;Tramo 1;202204;Grupo 4;501;0.163672655;Nuevo
Producto A;Tramo 1;202204;Grupo 5;201;0.268656716;Nuevo
Producto A;Tramo 1;202205;Grupo 1;321;0.00623053;Nuevo
Producto A;Tramo 1;202205;Grupo 2;949;0.037934668;Nuevo
Producto A;Tramo 1;202205;Grupo 3;690;0.073913043;Nuevo
Producto A;Tramo 1;202205;Grupo 4;509;0.143418468;Nuevo
Producto A;Tramo 1;202205;Grupo 5;194;0.283505155;Nuevo
Producto A;Tramo 1;202206;Grupo 1;458;0.013100437;Nuevo
Producto A;Tramo 1;202206;Grupo 2;1422;0.02742616;Nuevo
Producto A;Tramo 1;202206;Grupo 3;954;0.062893082;Nuevo
Producto A;Tramo 1;202206;Grupo 4;692;0.125722543;Nuevo
Producto A;Tramo 1;202206;Grupo 5;246;0.203252033;Nuevo
Producto A;Tramo 1;202207;Grupo 1;537;0.013035382;Nuevo
Producto A;Tramo 1;202207;Grupo 2;1543;0.026571614;Nuevo
Producto A;Tramo 1;202207;Grupo 3;1052;0.074144487;Nuevo
Producto A;Tramo 1;202207;Grupo 4;702;0.12962963;Nuevo
Producto A;Tramo 1;202207;Grupo 5;255;0.196078431;Nuevo
Producto A;Tramo 2;202201;Grupo 1;49;0.040816327;Actual
Producto A;Tramo 2;202201;Grupo 2;225;0.062222222;Actual
Producto A;Tramo 2;202201;Grupo 3;734;0.21253406;Actual
Producto A;Tramo 2;202201;Grupo 4;527;0.407969639;Actual
Producto A;Tramo 2;202201;Grupo 5;375;0.610666667;Actual
Producto A;Tramo 2;202202;Grupo 1;37;0.081081081;Actual
Producto A;Tramo 2;202202;Grupo 2;246;0.052845528;Actual
Producto A;Tramo 2;202202;Grupo 3;713;0.16970547;Actual
Producto A;Tramo 2;202202;Grupo 4;462;0.374458874;Actual
Producto A;Tramo 2;202202;Grupo 5;278;0.665467626;Actual
Producto A;Tramo 2;202203;Grupo 1;49;0.06122449;Actual
Producto A;Tramo 2;202203;Grupo 2;296;0.070945946;Actual
Producto A;Tramo 2;202203;Grupo 3;827;0.166868198;Actual
Producto A;Tramo 2;202203;Grupo 4;585;0.369230769;Actual
Producto A;Tramo 2;202203;Grupo 5;374;0.612299465;Actual
Producto A;Tramo 2;202204;Grupo 1;72;0.041666667;Actual
Producto A;Tramo 2;202204;Grupo 2;275;0.047272727;Actual
Producto A;Tramo 2;202204;Grupo 3;907;0.187431092;Actual
Producto A;Tramo 2;202204;Grupo 4;543;0.362799263;Actual
Producto A;Tramo 2;202204;Grupo 5;330;0.621212121;Actual
Producto A;Tramo 2;202205;Grupo 1;30;0.066666667;Actual
Producto A;Tramo 2;202205;Grupo 2;257;0.097276265;Actual
Producto A;Tramo 2;202205;Grupo 3;865;0.184971098;Actual
Producto A;Tramo 2;202205;Grupo 4;614;0.328990228;Actual
Producto A;Tramo 2;202205;Grupo 5;330;0.536363636;Actual
Producto A;Tramo 2;202206;Grupo 1;40;0.075;Actual
Producto A;Tramo 2;202206;Grupo 2;261;0.091954023;Actual
Producto A;Tramo 2;202206;Grupo 3;992;0.172379032;Actual
Producto A;Tramo 2;202206;Grupo 4;724;0.324585635;Actual
Producto A;Tramo 2;202206;Grupo 5;344;0.555232558;Actual
Producto A;Tramo 2;202207;Grupo 1;53;0.037735849;Actual
Producto A;Tramo 2;202207;Grupo 2;398;0.052763819;Actual
Producto A;Tramo 2;202207;Grupo 3;1048;0.128816794;Actual
Producto A;Tramo 2;202207;Grupo 4;656;0.324695122;Actual
Producto A;Tramo 2;202207;Grupo 5;339;0.572271386;Actual
Producto A;Tramo 2;202201;Grupo 1;356;0.053370787;Nuevo
Producto A;Tramo 2;202201;Grupo 2;480;0.19375;Nuevo
Producto A;Tramo 2;202201;Grupo 3;379;0.343007916;Nuevo
Producto A;Tramo 2;202201;Grupo 4;504;0.501984127;Nuevo
Producto A;Tramo 2;202201;Grupo 5;195;0.630769231;Nuevo
Producto A;Tramo 2;202202;Grupo 1;352;0.068181818;Nuevo
Producto A;Tramo 2;202202;Grupo 2;471;0.16985138;Nuevo
Producto A;Tramo 2;202202;Grupo 3;327;0.345565749;Nuevo
Producto A;Tramo 2;202202;Grupo 4;450;0.428888889;Nuevo
Producto A;Tramo 2;202202;Grupo 5;137;0.627737226;Nuevo
Producto A;Tramo 2;202203;Grupo 1;378;0.066137566;Nuevo
Producto A;Tramo 2;202203;Grupo 2;589;0.154499151;Nuevo
Producto A;Tramo 2;202203;Grupo 3;427;0.283372365;Nuevo
Producto A;Tramo 2;202203;Grupo 4;540;0.459259259;Nuevo
Producto A;Tramo 2;202203;Grupo 5;201;0.611940299;Nuevo
Producto A;Tramo 2;202204;Grupo 1;338;0.035502959;Nuevo
Producto A;Tramo 2;202204;Grupo 2;532;0.137218045;Nuevo
Producto A;Tramo 2;202204;Grupo 3;423;0.26713948;Nuevo
Producto A;Tramo 2;202204;Grupo 4;575;0.417391304;Nuevo
Producto A;Tramo 2;202204;Grupo 5;261;0.578544061;Nuevo
Producto A;Tramo 2;202205;Grupo 1;259;0.054054054;Nuevo
Producto A;Tramo 2;202205;Grupo 2;528;0.121212121;Nuevo
Producto A;Tramo 2;202205;Grupo 3;400;0.2625;Nuevo
Producto A;Tramo 2;202205;Grupo 4;654;0.360856269;Nuevo
Producto A;Tramo 2;202205;Grupo 5;256;0.578125;Nuevo
Producto A;Tramo 2;202206;Grupo 1;306;0.052287582;Nuevo
Producto A;Tramo 2;202206;Grupo 2;562;0.138790036;Nuevo
Producto A;Tramo 2;202206;Grupo 3;469;0.232409382;Nuevo
Producto A;Tramo 2;202206;Grupo 4;721;0.357836338;Nuevo
Producto A;Tramo 2;202206;Grupo 5;305;0.540983607;Nuevo
Producto A;Tramo 2;202207;Grupo 1;421;0.042755344;Nuevo
Producto A;Tramo 2;202207;Grupo 2;662;0.105740181;Nuevo
Producto A;Tramo 2;202207;Grupo 3;446;0.226457399;Nuevo
Producto A;Tramo 2;202207;Grupo 4;689;0.317851959;Nuevo
Producto A;Tramo 2;202207;Grupo 5;276;0.56884058;Nuevo
Producto A;Tramo 3;202201;Grupo 2;157;0.535031847;Actual
Producto A;Tramo 3;202201;Grupo 3;256;0.6953125;Actual
Producto A;Tramo 3;202201;Grupo 4;295;0.888135593;Actual
Producto A;Tramo 3;202202;Grupo 2;192;0.411458333;Actual
Producto A;Tramo 3;202202;Grupo 3;351;0.586894587;Actual
Producto A;Tramo 3;202202;Grupo 4;407;0.823095823;Actual
Producto A;Tramo 3;202203;Grupo 2;300;0.493333333;Actual
Producto A;Tramo 3;202203;Grupo 3;420;0.697619048;Actual
Producto A;Tramo 3;202203;Grupo 4;266;0.868421053;Actual
Producto A;Tramo 3;202204;Grupo 2;198;0.449494949;Actual
Producto A;Tramo 3;202204;Grupo 3;349;0.681948424;Actual
Producto A;Tramo 3;202204;Grupo 4;350;0.862857143;Actual
Producto A;Tramo 3;202205;Grupo 2;201;0.467661692;Actual
Producto A;Tramo 3;202205;Grupo 3;359;0.674094708;Actual
Producto A;Tramo 3;202205;Grupo 4;323;0.860681115;Actual
Producto A;Tramo 3;202206;Grupo 2;197;0.487309645;Actual
Producto A;Tramo 3;202206;Grupo 3;357;0.616246499;Actual
Producto A;Tramo 3;202206;Grupo 4;318;0.871069182;Actual
Producto A;Tramo 3;202207;Grupo 2;196;0.423469388;Actual
Producto A;Tramo 3;202207;Grupo 3;392;0.642857143;Actual
Producto A;Tramo 3;202207;Grupo 4;366;0.863387978;Actual
Producto A;Tramo 3;202201;Grupo 1;83;0.506024096;Nuevo
Producto A;Tramo 3;202201;Grupo 2;223;0.66367713;Nuevo
Producto A;Tramo 3;202201;Grupo 3;273;0.798534799;Nuevo
Producto A;Tramo 3;202201;Grupo 4;129;0.899224806;Nuevo
Producto A;Tramo 3;202202;Grupo 1;115;0.330434783;Nuevo
Producto A;Tramo 3;202202;Grupo 2;342;0.593567251;Nuevo
Producto A;Tramo 3;202202;Grupo 3;354;0.734463277;Nuevo
Producto A;Tramo 3;202202;Grupo 4;141;0.85106383;Nuevo
Producto A;Tramo 3;202203;Grupo 1;122;0.37704918;Nuevo
Producto A;Tramo 3;202203;Grupo 2;346;0.63583815;Nuevo
Producto A;Tramo 3;202203;Grupo 3;375;0.744;Nuevo
Producto A;Tramo 3;202203;Grupo 4;144;0.888888889;Nuevo
Producto A;Tramo 3;202204;Grupo 1;79;0.392405063;Nuevo
Producto A;Tramo 3;202204;Grupo 2;302;0.592715232;Nuevo
Producto A;Tramo 3;202204;Grupo 3;351;0.794871795;Nuevo
Producto A;Tramo 3;202204;Grupo 4;167;0.844311377;Nuevo
Producto A;Tramo 3;202205;Grupo 1;59;0.406779661;Nuevo
Producto A;Tramo 3;202205;Grupo 2;277;0.610108303;Nuevo
Producto A;Tramo 3;202205;Grupo 3;367;0.713896458;Nuevo
Producto A;Tramo 3;202205;Grupo 4;183;0.885245902;Nuevo
Producto A;Tramo 3;202206;Grupo 1;67;0.402985075;Nuevo
Producto A;Tramo 3;202206;Grupo 2;283;0.565371025;Nuevo
Producto A;Tramo 3;202206;Grupo 3;346;0.728323699;Nuevo
Producto A;Tramo 3;202206;Grupo 4;177;0.875706215;Nuevo
Producto A;Tramo 3;202207;Grupo 1;81;0.395061728;Nuevo
Producto A;Tramo 3;202207;Grupo 2;284;0.577464789;Nuevo
Producto A;Tramo 3;202207;Grupo 3;406;0.721674877;Nuevo
Producto A;Tramo 3;202207;Grupo 4;185;0.886486486;Nuevo
Producto A;Tramo 4;202201;Grupo 2;78;0.743589744;Actual
Producto A;Tramo 4;202201;Grupo 3;134;0.835820896;Actual
Producto A;Tramo 4;202201;Grupo 4;336;0.916666667;Actual
Producto A;Tramo 4;202202;Grupo 2;74;0.689189189;Actual
Producto A;Tramo 4;202202;Grupo 3;147;0.795918367;Actual
Producto A;Tramo 4;202202;Grupo 4;359;0.924791086;Actual
Producto A;Tramo 4;202203;Grupo 2;109;0.743119266;Actual
Producto A;Tramo 4;202203;Grupo 3;183;0.781420765;Actual
Producto A;Tramo 4;202203;Grupo 4;376;0.946808511;Actual
Producto A;Tramo 4;202204;Grupo 2;137;0.708029197;Actual
Producto A;Tramo 4;202204;Grupo 3;240;0.820833333;Actual
Producto A;Tramo 4;202204;Grupo 4;343;0.941690962;Actual
Producto A;Tramo 4;202205;Grupo 2;118;0.686440678;Actual
Producto A;Tramo 4;202205;Grupo 3;178;0.820224719;Actual
Producto A;Tramo 4;202205;Grupo 4;393;0.93129771;Actual
Producto A;Tramo 4;202206;Grupo 2;124;0.612903226;Actual
Producto A;Tramo 4;202206;Grupo 3;190;0.794736842;Actual
Producto A;Tramo 4;202206;Grupo 4;353;0.920679887;Actual
Producto A;Tramo 4;202207;Grupo 2;145;0.586206897;Actual
Producto A;Tramo 4;202207;Grupo 3;160;0.8;Actual
Producto A;Tramo 4;202207;Grupo 4;362;0.919889503;Actual
Producto A;Tramo 4;202201;Grupo 1;57;0.754385965;Nuevo
Producto A;Tramo 4;202201;Grupo 2;358;0.874301676;Nuevo
Producto A;Tramo 4;202201;Grupo 3;133;0.917293233;Nuevo
Producto A;Tramo 4;202202;Grupo 1;82;0.743902439;Nuevo
Producto A;Tramo 4;202202;Grupo 2;359;0.86908078;Nuevo
Producto A;Tramo 4;202202;Grupo 3;139;0.913669065;Nuevo
Producto A;Tramo 4;202203;Grupo 1;67;0.731343284;Nuevo
Producto A;Tramo 4;202203;Grupo 2;427;0.847775176;Nuevo
Producto A;Tramo 4;202203;Grupo 3;175;0.971428571;Nuevo
Producto A;Tramo 4;202204;Grupo 1;62;0.758064516;Nuevo
Producto A;Tramo 4;202204;Grupo 2;488;0.838114754;Nuevo
Producto A;Tramo 4;202204;Grupo 3;172;0.947674419;Nuevo
Producto A;Tramo 4;202205;Grupo 1;66;0.712121212;Nuevo
Producto A;Tramo 4;202205;Grupo 2;456;0.855263158;Nuevo
Producto A;Tramo 4;202205;Grupo 3;169;0.934911243;Nuevo
Producto A;Tramo 4;202206;Grupo 1;55;0.727272727;Nuevo
Producto A;Tramo 4;202206;Grupo 2;421;0.798099762;Nuevo
Producto A;Tramo 4;202206;Grupo 3;194;0.917525773;Nuevo
Producto A;Tramo 4;202207;Grupo 1;59;0.745762712;Nuevo
Producto A;Tramo 4;202207;Grupo 2;422;0.796208531;Nuevo
Producto A;Tramo 4;202207;Grupo 3;189;0.894179894;Nuevo
Producto C;Tramo 1;202201;Grupo 1;178;0.101123596;Actual
Producto C;Tramo 1;202201;Grupo 2;233;0.154506438;Actual
Producto C;Tramo 1;202201;Grupo 3;73;0.178082192;Actual
Producto C;Tramo 1;202201;Grupo 4;63;0.317460317;Actual
Producto C;Tramo 1;202201;Grupo 5;37;0.324324324;Actual
Producto C;Tramo 1;202202;Grupo 1;331;0.075528701;Actual
Producto C;Tramo 1;202202;Grupo 2;316;0.10443038;Actual
Producto C;Tramo 1;202202;Grupo 3;102;0.245098039;Actual
Producto C;Tramo 1;202202;Grupo 4;85;0.223529412;Actual
Producto C;Tramo 1;202202;Grupo 5;62;0.193548387;Actual
Producto C;Tramo 1;202203;Grupo 1;176;0.107954545;Actual
Producto C;Tramo 1;202203;Grupo 2;203;0.128078818;Actual
Producto C;Tramo 1;202203;Grupo 3;68;0.176470588;Actual
Producto C;Tramo 1;202203;Grupo 4;58;0.224137931;Actual
Producto C;Tramo 1;202203;Grupo 5;48;0.416666667;Actual
Producto C;Tramo 1;202204;Grupo 1;233;0.094420601;Actual
Producto C;Tramo 1;202204;Grupo 2;253;0.079051383;Actual
Producto C;Tramo 1;202204;Grupo 3;91;0.21978022;Actual
Producto C;Tramo 1;202204;Grupo 4;89;0.168539326;Actual
Producto C;Tramo 1;202204;Grupo 5;63;0.412698413;Actual
Producto C;Tramo 1;202205;Grupo 1;206;0.087378641;Actual
Producto C;Tramo 1;202205;Grupo 2;236;0.122881356;Actual
Producto C;Tramo 1;202205;Grupo 3;82;0.231707317;Actual
Producto C;Tramo 1;202205;Grupo 4;71;0.23943662;Actual
Producto C;Tramo 1;202205;Grupo 5;63;0.396825397;Actual
Producto C;Tramo 1;202206;Grupo 1;342;0.081871345;Actual
Producto C;Tramo 1;202206;Grupo 2;291;0.130584192;Actual
Producto C;Tramo 1;202206;Grupo 3;93;0.290322581;Actual
Producto C;Tramo 1;202206;Grupo 4;82;0.231707317;Actual
Producto C;Tramo 1;202206;Grupo 5;56;0.464285714;Actual
Producto C;Tramo 1;202207;Grupo 1;450;0.042222222;Actual
Producto C;Tramo 1;202207;Grupo 2;343;0.078717201;Actual
Producto C;Tramo 1;202207;Grupo 3;87;0.218390805;Actual
Producto C;Tramo 1;202207;Grupo 4;72;0.361111111;Actual
Producto C;Tramo 1;202207;Grupo 5;46;0.326086957;Actual
Producto C;Tramo 1;202201;Grupo 1;278;0.100719424;Nuevo
Producto C;Tramo 1;202201;Grupo 2;151;0.132450331;Nuevo
Producto C;Tramo 1;202201;Grupo 3;156;0.326923077;Nuevo
Producto C;Tramo 1;202202;Grupo 1;524;0.078244275;Nuevo
Producto C;Tramo 1;202202;Grupo 2;214;0.168224299;Nuevo
Producto C;Tramo 1;202202;Grupo 3;159;0.232704403;Nuevo
Producto C;Tramo 1;202203;Grupo 1;280;0.107142857;Nuevo
Producto C;Tramo 1;202203;Grupo 2;138;0.15942029;Nuevo
Producto C;Tramo 1;202203;Grupo 3;135;0.281481481;Nuevo
Producto C;Tramo 1;202204;Grupo 1;394;0.109137056;Nuevo
Producto C;Tramo 1;202204;Grupo 2;170;0.123529412;Nuevo
Producto C;Tramo 1;202204;Grupo 3;165;0.236363636;Nuevo
Producto C;Tramo 1;202205;Grupo 1;340;0.1;Nuevo
Producto C;Tramo 1;202205;Grupo 2;158;0.221518987;Nuevo
Producto C;Tramo 1;202205;Grupo 3;160;0.24375;Nuevo
Producto C;Tramo 1;202206;Grupo 1;483;0.115942029;Nuevo
Producto C;Tramo 1;202206;Grupo 2;202;0.173267327;Nuevo
Producto C;Tramo 1;202206;Grupo 3;179;0.262569832;Nuevo
Producto C;Tramo 1;202207;Grupo 1;517;0.061895551;Nuevo
Producto C;Tramo 1;202207;Grupo 2;248;0.116935484;Nuevo
Producto C;Tramo 1;202207;Grupo 3;234;0.192307692;Nuevo
Producto C;Tramo 2;202201;Grupo 1;14;0.142857143;Actual
Producto C;Tramo 2;202201;Grupo 2;157;0.242038217;Actual
Producto C;Tramo 2;202201;Grupo 3;212;0.221698113;Actual
Producto C;Tramo 2;202201;Grupo 4;395;0.339240506;Actual
Producto C;Tramo 2;202201;Grupo 5;369;0.471544715;Actual
Producto C;Tramo 2;202202;Grupo 1;9;0.333333333;Actual
Producto C;Tramo 2;202202;Grupo 2;147;0.136054422;Actual
Producto C;Tramo 2;202202;Grupo 3;208;0.206730769;Actual
Producto C;Tramo 2;202202;Grupo 4;379;0.337730871;Actual
Producto C;Tramo 2;202202;Grupo 5;333;0.435435435;Actual
Producto C;Tramo 2;202203;Grupo 1;15;0.2;Actual
Producto C;Tramo 2;202203;Grupo 2;170;0.294117647;Actual
Producto C;Tramo 2;202203;Grupo 3;198;0.297979798;Actual
Producto C;Tramo 2;202203;Grupo 4;341;0.375366569;Actual
Producto C;Tramo 2;202203;Grupo 5;375;0.48;Actual
Producto C;Tramo 2;202204;Grupo 1;12;0.166666667;Actual
Producto C;Tramo 2;202204;Grupo 2;156;0.237179487;Actual
Producto C;Tramo 2;202204;Grupo 3;188;0.281914894;Actual
Producto C;Tramo 2;202204;Grupo 4;349;0.303724928;Actual
Producto C;Tramo 2;202204;Grupo 5;386;0.414507772;Actual
Producto C;Tramo 2;202205;Grupo 1;7;0.142857143;Actual
Producto C;Tramo 2;202205;Grupo 2;113;0.150442478;Actual
Producto C;Tramo 2;202205;Grupo 3;189;0.253968254;Actual
Producto C;Tramo 2;202205;Grupo 4;352;0.352272727;Actual
Producto C;Tramo 2;202205;Grupo 5;393;0.519083969;Actual
Producto C;Tramo 2;202206;Grupo 1;16;0.25;Actual
Producto C;Tramo 2;202206;Grupo 2;176;0.278409091;Actual
Producto C;Tramo 2;202206;Grupo 3;212;0.240566038;Actual
Producto C;Tramo 2;202206;Grupo 4;368;0.394021739;Actual
Producto C;Tramo 2;202206;Grupo 5;369;0.452574526;Actual
Producto C;Tramo 2;202207;Grupo 1;20;0.1;Actual
Producto C;Tramo 2;202207;Grupo 2;219;0.164383562;Actual
Producto C;Tramo 2;202207;Grupo 3;273;0.183150183;Actual
Producto C;Tramo 2;202207;Grupo 4;458;0.338427948;Actual
Producto C;Tramo 2;202207;Grupo 5;413;0.440677966;Actual
Producto C;Tramo 2;202201;Grupo 1;333;0.216216216;Nuevo
Producto C;Tramo 2;202201;Grupo 2;415;0.330120482;Nuevo
Producto C;Tramo 2;202201;Grupo 3;298;0.416107383;Nuevo
Producto C;Tramo 2;202201;Grupo 4;102;0.607843137;Nuevo
Producto C;Tramo 2;202202;Grupo 1;325;0.153846154;Nuevo
Producto C;Tramo 2;202202;Grupo 2;387;0.315245478;Nuevo
Producto C;Tramo 2;202202;Grupo 3;263;0.425855513;Nuevo
Producto C;Tramo 2;202202;Grupo 4;101;0.544554455;Nuevo
